,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,energy_100g,reconstructed_energy,g_sum,exceeded,product
19920,14.29,0,0,14.29,2.44856,749,800.24,28.58,0,Turkey Bacon
19921,14.29,0,0,14.29,2.44856,749,800.24,28.58,0,"Everyday Turkey Bacon, Original"
19923,16.07,10.71,3.57,14.29,2.44856,1046,1051.73,41.07,0,Thick Sliced Turkey Bologna
19924,13.89,0,0,16.67,2.54,812,825.1,30.56,0,"Turkey Bacon , Thin & Crispy"
19925,13.89,0,0,16.67,1.48082,699,825.1,30.56,0,"Everyday Lower Sodium Turkey Bacon, Smoked Cured Dark & White Turkey"
19926,14.29,0,0,14.29,2.44856,749,800.24,28.58,0,"Turkey Bacon, Natural Smoke Flavor Added"
19927,16.07,10.71,3.57,14.29,2.44856,1046,1051.73,41.07,0,Turkey Bologna
19928,8.93,8.93,1.79,12.5,2.58572,749,712.58,30.36,0,Everyday Turkey Sausage
19929,8.93,10.71,1.79,12.5,2.63144,749,742.84,32.14,0,Turkey Sausage
19930,1.79,7.14,7.14,17.86,1.81356,448,494.81,26.79,0,"Turkey Breast, Honey Roasted"
19931,1.79,1.79,1.79,17.86,1.81356,372,403.86,21.44,0,Smoked Turkey Breast
19932,9.65,0,0,19.3,1.82626,661,704.45,28.95,0,Turkey Breakfast Sausage Links
19933,1.79,3.57,1.79,17.86,1.76784,448,434.12,23.22,0,Cajun Style Turkey Breast
19934,1.79,3.57,1.79,17.86,1.72466,372,434.12,23.22,0,"Turkey Breast, Cracked Pepper"
19935,1.79,1.79,1.79,17.86,1.81356,372,403.86,21.44,0,Turkey Breast
19936,1.79,3.57,3.57,17.86,1.905,523,434.12,23.22,0,"Natural Inspirations, Herb Roasted Turkey Breast"
19937,3.57,7.14,3.57,21.43,1.905,523,624.92,32.14,0,"Turkey Breast, Maple"
19939,1.79,3.57,3.57,17.86,1.905,523,434.12,23.22,0,"Natural Inspirations, Oven Roasted Turkey Breast"
19940,1.79,3.57,0,17.86,1.72466,448,434.12,23.22,0,Hardwood Smoked Turkey Breast
19941,1.19,2.38,0,21.43,2.26822,448,451.18,25,0,Turkey Breast Strips Oven Roasted
19942,1.07,4.29,0.71,16.43,1.06934,389,393.97,21.79,0,Chef Select Turkey Breast & Gravy
19943,11.43,0,0,18.57,1.66878,715,761.46,30,0,Turkey Sausage
19944,15.18,0,0,16.96,0.18034,858,880.34,32.14,0,Ground Turkey
19945,7.14,0,0,19.64,0.2159,561,612.34,26.78,0,Fresh Everyday Ground Turkey
19946,15.18,0,0,16.96,0.18034,858,880.34,32.14,0,"Everyday, Fresh Ground Turkey"
19976,7.28,1.32,0.66,20.53,0.85852,665,655.37,29.13,0,"Turkey Burgers, Original Seasoned"
19977,7.28,1.32,0.66,20.53,0.75692,665,655.37,29.13,0,Turkey Burgers
19978,7.28,1.32,0.66,20.53,0.85852,665,655.37,29.13,0,"Everyday Turkey Burgers, Original Seasoned"
19979,7.14,0,0,19.64,0.72644,674,612.34,26.78,0,Turkey Burgers
19980,9.15,0,0,20.42,0.71628,707,703.99,29.57,0,"Everyday Turkey Burgers, Cheddar"
19981,1.79,1.79,1.79,17.86,1.81356,372,403.86,21.44,0,Naturally Roasted & Deep Fried Turkey Breast
19982,16.07,3.57,0,14.29,1.85928,971,930.35,33.93,0,"Turkey Bologna, Original"
19984,5.95,4.76,4.76,16.67,3.08356,598,596.36,27.38,0,"Carolina Turkey, Classic Black Forest Honey Smoked Turkey Ham"
19985,12.94,10.59,1.18,15.29,1.6129,937,944.62,38.82,0,"Natural Inspirations, Bite Sized Turkey Meatballs"
19986,12.94,10.59,1.18,15.29,1.49352,937,944.62,38.82,0,"Natural Inspiration, Dinner Sized Turkey Meatballs"
19987,1.79,0,0,23.21,1.27,448,464.38,25,0,"Hartford Reserve, All Natural Turkey Breast"
19988,0.89,1.79,1.79,17.86,2.13106,448,368.76,20.54,0,"Hartford Reserve, Naturally Roasted Turkey Breast"
19989,1.79,1.79,0,19.64,1.99644,448,434.12,23.22,0,"Hartford Reserve, Chicken Breast"
19990,0.89,1.79,0,19.64,2.13106,448,399.02,22.32,0,"Hartford Reserve, Buffalo Style Chicken Breast"
19991,1.79,0,0,21.43,1.17856,448,434.12,23.22,0,"Hartford Reserve, Lower Sodium Turkey Breast"
19992,7.26,39.4,2.32,9.05,0.909,1120,1106.79,55.71,0,Cheesy Pizza
19993,1.22,51.22,2.44,7.32,0.52578,1021,1042.76,59.76,0,Thin Sliced Rye Bread
19994,17.86,60.71,35.71,3.57,1.04394,1795,1789.3,82.14,0,"Albertsons/Safeway, Oven Baked Cookies, Chocolate Chip"
19995,7.14,78.57,45.24,4.76,1.0287,1695,1695.07,90.47,0,"Lehi Roller Mills, Muffin Mix, Country Blueberry"
19996,0,84.38,59.38,6.25,1.07188,1569,1540.71,90.63,0,"Lehi Roller Mills, Double Fudge Brownie Mix, Double Fudge"
19997,8.33,78.57,45.24,4.76,1.20904,1695,1741.48,91.66,0,"Lehi Roller Mills, Country Muffin Mix, Raspberry"
19998,4.05,81.08,48.65,5.41,0.72136,1582,1628.28,90.54,0,"Lehi Roller Mills, Cookie Mix, Pumpkin Chocolate Chip"
19999,2.7,83.78,59.46,5.41,1.09728,1582,1621.53,91.89,0,"Lehi Roller Mills, Brownie Mix, Mint Truffle"
20000,0,84.38,59.38,6.25,1.07188,1569,1540.71,90.63,0,"Lehi Roller Mills, Brownie Mix, Double Fudge"
20001,4.46,69.64,16.07,10.71,2.8575,1494,1539.89,84.81,0,Pancake Mix
20002,4.05,81.08,48.65,5.41,0.72136,1582,1628.28,90.54,0,"Lehi Roller Mills, Cookie Mix, Pumpkin Chocolate Chip"
20003,1.04,5,5,3.33,0.13208,192,182.17,9.37,0,"Pcc, Organic Lowfat Milk"
20004,2.08,5,4.58,3.33,0.127,226,222.73,10.41,0,"Pcc, Organic 2% Reduced Fat Milk"
20005,0,5,5,3.33,0.13208,159,141.61,8.33,0,"Pcc, Organic Nonfat Milk"
20006,3.33,5,4.58,3.33,0.127,259,271.48,11.66,0,"Pcc, Local Organic Whole Milk"
20008,16.07,7.14,1.79,12.5,2.35966,895,960.61,35.71,0,Jumbo Chicken Franks
20009,16.07,7.14,1.79,12.5,2.35966,895,960.61,35.71,0,Chicken Franks
20010,17.86,5.36,1.79,10.71,2.26822,820,969.73,33.93,0,Turkey Franks
20011,17.86,5.36,1.79,10.71,2.26822,820,969.73,33.93,0,Jumbo Turkey Franks
20012,15.24,22.86,21.9,3.81,0.13208,1038,1047.75,41.91,0,"Ice Cream, French Vanilla"
